network,n_nodes,n_edges,n_clusters,method,runtime_sec,n_cores,full_recovery_rate,clean_recovery_rate,mean_recovery,n_split,n_merged
interactome_stelzl,1702,3154,217,Leiden-CPM-0.5,0.024,217,0.5576,0.5484,0.7788,96,7
interactome_stelzl,1702,3154,217,Curvature,5.17,217,1.0,0.0323,1.0,0,210
new_zealand_collab,1511,4214,143,Leiden-mod,0.049,143,0.965,0.1538,0.9818,5,121
new_zealand_collab,1511,4214,143,Leiden-CPM-0.01,0.06,143,0.965,0.5315,0.9793,5,67
new_zealand_collab,1511,4214,143,Leiden-CPM-0.1,0.05,143,0.9301,0.8811,0.9593,10,8
new_zealand_collab,1511,4214,143,Leiden-CPM-0.5,0.036,143,0.8671,0.8392,0.9336,19,5
new_zealand_collab,1511,4214,143,Curvature,8.27,143,1.0,0.3427,1.0,0,94
interactome_figeys,2239,6291,29,Leiden-mod,0.125,29,0.5862,0.2069,0.7931,12,21
interactome_figeys,2239,6291,29,Leiden-CPM-0.01,0.23,29,0.5517,0.4828,0.7759,13,6
interactome_figeys,2239,6291,29,Leiden-CPM-0.1,0.065,29,0.4138,0.3793,0.7069,17,2
interactome_figeys,2239,6291,29,Leiden-CPM-0.5,0.069,29,0.4483,0.3103,0.7241,16,7
interactome_figeys,2239,6291,29,Curvature,11.62,29,1.0,0.1034,1.0,0,26
collins_yeast,1622,8958,232,Leiden-mod,0.045,232,1.0,0.8578,1.0,0,33
collins_yeast,1622,8958,232,Leiden-CPM-0.01,0.032,232,1.0,0.9267,1.0,0,17
collins_yeast,1622,8958,232,Leiden-CPM-0.1,0.032,232,0.9741,0.944,0.9871,6,7
collins_yeast,1622,8958,232,Leiden-CPM-0.5,0.056,232,0.8836,0.8534,0.9411,27,7
collins_yeast,1622,8958,232,Curvature,13.4,232,0.9828,0.1121,0.9914,4,202
bible_nouns,1773,9026,109,Leiden-mod,0.077,109,0.9358,0.211,0.9679,7,86
bible_nouns,1773,9026,109,Leiden-CPM-0.01,0.075,109,0.9817,0.6055,0.9908,2,43
bible_nouns,1773,9026,109,Leiden-CPM-0.1,0.098,109,0.8991,0.7431,0.9511,11,19
bible_nouns,1773,9026,109,Leiden-CPM-0.5,0.056,109,0.633,0.5688,0.8196,40,12
bible_nouns,1773,9026,109,Curvature,16.71,109,1.0,0.156,1.0,0,92
dnc,906,10213,55,Leiden-mod,0.029,55,0.9636,0.3636,0.9869,2,35
dnc,906,10213,55,Leiden-CPM-0.01,0.029,55,0.9818,0.6182,0.9909,1,21
dnc,906,10213,55,Leiden-CPM-0.1,0.056,55,0.9636,0.7636,0.9818,2,11
dnc,906,10213,55,Leiden-CPM-0.5,0.031,55,0.8909,0.7273,0.9485,6,9
dnc,906,10213,55,Curvature,36.3,55,0.9636,0.4182,0.9818,2,30
